店舗名,エリア,最寄駅,ジャンル,食べログURL,住所,Google Maps,評価点数
織田style,原宿・表参道・青山,外苑前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13296871/,東京都渋谷区神宮前3-31-2 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D3-31-2%201F,3.08
AnimA osteria e pizzeria,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13226392/,東京都港区南青山3-12-1,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B13-12-1,3.42
肉汁餃子のダンダダン 青山一丁目店,原宿・表参道・青山,青山一丁目駅,東京,https://tabelog.com/tokyo/A1306/A130603/13202164/,東京都港区南青山1-3-6 都営南青山一丁目アパート6号棟 1Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B11-3-6%20%E9%83%BD%E5%96%B6%E5%8D%97%E9%9D%92%E5%B1%B1%E4%B8%80%E4%B8%81%E7%9B%AE%E3%82%A2%E3%83%91%E3%83%BC%E3%83%886%E5%8F%B7%E6%A3%9F%201%EF%BC%A6,3.07
焼肉・薬膳鍋 雑草家,原宿・表参道・青山,外苑前駅,東京,https://tabelog.com/tokyo/A1306/A130603/13004388/,東京都港区南青山4-1-15 アルティカ・ベルテ・プラザ　Ｂ１Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B14-1-15%20%E3%82%A2%E3%83%AB%E3%83%86%E3%82%A3%E3%82%AB%E3%83%BB%E3%83%99%E3%83%AB%E3%83%86%E3%83%BB%E3%83%97%E3%83%A9%E3%82%B6%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,3.43
カフェ ラ・ボエム 北青山,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13015582/,東京都港区北青山3-6-25,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B13-6-25,3.18
shiari samgyetang,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13286336/,東京都渋谷区神宮前3-4-3 パークサイド表参道 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D3-4-3%20%E3%83%91%E3%83%BC%E3%82%AF%E3%82%B5%E3%82%A4%E3%83%89%E8%A1%A8%E5%8F%82%E9%81%93%201F,3.56
カフェ ラ・ボエム 表参道,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13004712/,東京都渋谷区神宮前5-8-5 ジェビリープラザビル　Ｂ１Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D5-8-5%20%E3%82%B8%E3%82%A7%E3%83%93%E3%83%AA%E3%83%BC%E3%83%97%E3%83%A9%E3%82%B6%E3%83%93%E3%83%AB%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,3.13
ダブルトールカフェ 原宿店,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13017556/,東京都渋谷区神宮前1-11-11 グリーンファンタジア　２Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D1-11-11%20%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E3%83%95%E3%82%A1%E3%83%B3%E3%82%BF%E3%82%B8%E3%82%A2%E3%80%80%EF%BC%92%EF%BC%A6,3.49
LYFT CAFE,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130601/13287990/,東京都渋谷区神宮前4-12-10 表参道ヒルズ 本館 B3F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D4-12-10%20%E8%A1%A8%E5%8F%82%E9%81%93%E3%83%92%E3%83%AB%E3%82%BA%20%E6%9C%AC%E9%A4%A8%20B3F,3.08
幸せのパンケーキ 表参道店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13185068/,東京都渋谷区神宮前4-9-3 清原ビル B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D4-9-3%20%E6%B8%85%E5%8E%9F%E3%83%93%E3%83%AB%20B1F,3.34
